Mention ID,Turn,GROUP A - Total nodes,GROUP A - Total edges,GROUP A - Average degree,GROUP A - Average degree centrality,GROUP A - Average closeness,GROUP A - Average degree connectivity,GROUP A - Average assortativity,GROUP A - Average node connectivity,GROUP A - Number of components,GROUP A - Number of strong components,GROUP A - Centrality entropy,GROUP A - Closeness entropy,GROUP A - Sparseness,GROUP B - Total classes,GROUP B - Total properties,GROUP B - Average population,GROUP B - Attribute richness,GROUP B - Relationship richness,GROUP B - Total axioms,GROUP C - Total triples,GROUP C - Total world instances,GROUP C - Total claims,GROUP C - Total perspectives,GROUP C - Total mentions,GROUP C - Total conflicts,GROUP C - Total sources,GROUP C - Total interactions,GROUP C - Total utterances,GROUP C - Ratio claim to triples,GROUP C - Ratio perspectives to triples,GROUP C - Ratio conflicts to triples,GROUP C - Ratio perspectives to claims,GROUP C - Ratio mentions to claims,GROUP C - Ratio conflicts to claims,GROUP C - Average perspectives per claim,GROUP C - Average mentions per claim,GROUP C - Average turns per interaction,GROUP C - Average claims per source,GROUP C - Average perspectives per source
10,10,3072.0,8416.0,5.479166666666667,0.0017841636817540433,0.0018628107523078845,0.9118278421036227,-0.13272328926831423,0.0,3.0,-0.13272328926831423,10.179755142595717,9.016035809585903,0.0008906258477105035,293.0,274.0,4.969283276450512,0.1386861313868613,0.309255079006772,3142.0,8416.0,11.0,12.0,10.0,11.0,0.0,2.0,0.0,11.0,0.0014258555133079848,0.001188212927756654,0.0,0.8333333333333334,0.9166666666666666,0.0,1.0,1.1,11.0,10.0,10.0
11,11,3088.0,8456.0,5.476683937823834,0.0017741120627871184,0.0018882024201027948,0.9152814440402518,-0.13431093132820274,0.0,3.0,-0.13431093132820274,10.188794125049753,9.05432664916076,0.0008856152178581975,293.0,274.0,5.003412969283277,0.1386861313868613,0.309255079006772,3172.0,8456.0,12.0,13.0,11.0,12.0,0.0,2.0,0.0,12.0,0.0015373699148533587,0.0013008514664143804,0.0,0.8461538461538461,0.9230769230769231,0.0,1.0,1.0909090909090908,12.0,11.0,11.0
12,12,3102.0,8496.0,5.477756286266924,0.0017664483348168087,0.0019163248123827681,0.9193828356554941,-0.13595491340511345,0.0,3.0,-0.13595491340511345,10.197384387211036,9.08910741572237,0.0008817962746107938,293.0,274.0,5.037542662116041,0.1386861313868613,0.309255079006772,3202.0,8496.0,13.0,14.0,12.0,13.0,0.0,2.0,0.0,13.0,0.001647834274952919,0.0014124293785310734,0.0,0.8571428571428571,0.9285714285714286,0.0,1.0,1.0833333333333333,13.0,12.0,12.0
13,13,3116.0,8535.0,5.478177150192555,0.0017586443499815585,0.0019466061011492823,0.923754654084307,-0.13751486372355204,0.0,3.0,-0.13751486372355204,10.205480011105237,9.123631489800971,0.0008779070629703662,293.0,274.0,5.071672354948806,0.1386861313868613,0.309255079006772,3232.0,8535.0,14.0,15.0,13.0,14.0,0.0,2.0,0.0,14.0,0.0017574692442882249,0.0015231400117164617,0.0,0.8666666666666667,0.9333333333333333,0.0,1.0,1.0769230769230769,14.0,13.0,13.0
14,14,3134.0,8577.0,5.4735162731333755,0.001747052752356647,0.001974119772374792,0.9264265681260403,-0.13897832606316052,0.0,3.0,-0.13897832606316052,10.21499617397443,9.162278230066963,0.0008721277106107989,293.0,274.0,5.1058020477815695,0.1386861313868613,0.309255079006772,3261.0,8577.0,15.0,16.0,14.0,15.0,0.0,2.0,0.0,15.0,0.0018654541214876996,0.0016322723563017372,0.0,0.875,0.9375,0.0,1.0,1.0714285714285714,15.0,14.0,14.0
15,15,3148.0,8616.0,5.473951715374842,0.0017394190388861908,0.0020009676872237156,0.9308891868635192,-0.14002169196433845,0.0,3.0,-0.14002169196433845,10.223022099079905,9.191394126453575,0.0008683232451091353,293.0,274.0,5.139931740614334,0.1386861313868613,0.309255079006772,3290.0,8616.0,16.0,17.0,15.0,16.0,0.0,2.0,0.0,16.0,0.0019730733519034353,0.0017409470752089136,0.0,0.8823529411764706,0.9411764705882353,0.0,1.0,1.0666666666666667,16.0,15.0,15.0
16,16,3163.0,8655.0,5.472652545052165,0.0017307566556142206,0.0020260796291117177,0.9346660398532666,-0.14102901496116266,0.0,3.0,-0.14102901496116266,10.231104500092865,9.219683042651837,0.0008640052360076681,293.0,274.0,5.174061433447099,0.1386861313868613,0.309255079006772,3319.0,8655.0,17.0,18.0,16.0,17.0,0.0,2.0,0.0,17.0,0.0020797227036395147,0.0018486424032351243,0.0,0.8888888888888888,0.9444444444444444,0.0,1.0,1.0625,17.0,16.0,16.0
17,17,3178.0,8694.0,5.47136563876652,0.001722179930364029,0.0020528314873480454,0.9384361179223351,-0.14208594720276344,0.0,3.0,-0.14208594720276344,10.238986959045453,9.248170982195079,0.0008597298687760923,293.0,274.0,5.208191126279863,0.1386861313868613,0.309255079006772,3348.0,8694.0,18.0,19.0,17.0,18.0,0.0,2.0,0.0,18.0,0.0021854152288934897,0.001955371520588912,0.0,0.8947368421052632,0.9473684210526315,0.0,1.0,1.0588235294117647,18.0,17.0,17.0
18,18,3193.0,8733.0,5.470090823676793,0.001713687601402504,0.0020964663724717756,0.9428421845831608,-0.14311012449507718,0.0,3.0,-0.14311012449507718,10.246520129369415,9.283204734303732,0.00085549651607332,293.0,274.0,5.242320819112628,0.1386861313868613,0.309255079006772,3378.0,8733.0,19.0,20.0,18.0,19.0,0.0,2.0,0.0,19.0,0.0022901637467078895,0.0020611473720371005,0.0,0.9,0.95,0.0,1.0,1.0555555555555556,19.0,18.0,18.0
19,19,3206.0,8773.0,5.472863381160324,0.0017076016789891808,0.0021351981633534974,0.9473205848930111,-0.14382662740361543,0.0,3.0,-0.14382662740361543,10.253878638035538,9.31351875888462,0.0008524643243388391,293.0,274.0,5.283276450511946,0.1386861313868613,0.309255079006772,3410.0,8773.0,20.0,21.0,19.0,20.0,0.0,2.0,0.0,20.0,0.0023937079676279492,0.0021657357802348115,0.0,0.9047619047619048,0.9523809523809523,0.0,1.0,1.0526315789473684,20.0,19.0,19.0
20,20,3213.0,8799.0,5.477124183006536,0.0017052067817579504,0.0021515276315080016,0.9501929023239941,-0.14494798214733282,0.0,3.0,-0.14494798214733282,10.258083194135342,9.326009307787206,0.000851272486724053,293.0,274.0,5.303754266211604,0.1386861313868613,0.309255079006772,3431.0,8799.0,20.0,21.0,19.0,21.0,0.0,2.0,0.0,21.0,0.002386634844868735,0.00215933628821457,0.0,0.9047619047619048,1.0,0.0,1.0,1.105263157894737,21.0,19.0,19.0
