Mention ID,Turn,GROUP A - Total nodes,GROUP A - Total edges,GROUP A - Average degree,GROUP A - Average degree centrality,GROUP A - Average closeness,GROUP A - Average degree connectivity,GROUP A - Average assortativity,GROUP A - Average node connectivity,GROUP A - Number of components,GROUP A - Number of strong components,GROUP A - Centrality entropy,GROUP A - Closeness entropy,GROUP A - Sparseness,GROUP B - Total classes,GROUP B - Total properties,GROUP B - Average population,GROUP B - Attribute richness,GROUP B - Relationship richness,GROUP B - Total axioms,GROUP C - Total triples,GROUP C - Total world instances,GROUP C - Total claims,GROUP C - Total perspectives,GROUP C - Total mentions,GROUP C - Total conflicts,GROUP C - Total sources,GROUP C - Total interactions,GROUP C - Total utterances,GROUP C - Ratio claim to triples,GROUP C - Ratio perspectives to triples,GROUP C - Ratio conflicts to triples,GROUP C - Ratio perspectives to claims,GROUP C - Ratio mentions to claims,GROUP C - Ratio conflicts to claims,GROUP C - Average perspectives per claim,GROUP C - Average mentions per claim,GROUP C - Average turns per interaction,GROUP C - Average claims per source,GROUP C - Average perspectives per source
10,10,3075.0,8417.0,5.474471544715447,0.001780895102379781,0.0018557039833274219,0.9121812530616427,-0.13015920431016478,0.0,3.0,-0.13015920431016478,10.183134520179241,9.006516985115255,0.000889100403199154,293.0,274.0,4.959044368600683,0.1386861313868613,0.309255079006772,3137.0,8417.0,13.0,11.0,10.0,11.0,1.0,2.0,0.0,11.0,0.0013068789354877034,0.001188071759534276,0.00011880717595342758,0.9090909090909091,1.0,0.09090909090909091,1.1111111111111112,1.2222222222222223,11.0,9.0,10.0
11,11,3087.0,8455.0,5.4778101716877226,0.0017750519026855872,0.0018909068526458768,0.9172261724763178,-0.13246418397548776,0.0,3.0,-0.13246418397548776,10.190311447522019,9.046700034180674,0.0008861890815838575,293.0,274.0,4.996587030716723,0.1386861313868613,0.309255079006772,3168.0,8455.0,14.0,12.0,11.0,12.0,1.0,2.0,0.0,12.0,0.0014192785334121822,0.0013010053222945004,0.00011827321111768185,0.9166666666666666,1.0,0.08333333333333333,1.1,1.2,12.0,10.0,11.0
12,12,3101.0,8494.0,5.478232828119961,0.001767171880038697,0.0019273461310246069,0.9226849321747054,-0.13398472429653835,0.0,3.0,-0.13398472429653835,10.198166369108874,9.085610478302279,0.0008822610925042021,293.0,274.0,5.034129692832765,0.1386861313868613,0.309255079006772,3199.0,8494.0,15.0,13.0,12.0,13.0,1.0,2.0,0.0,13.0,0.0015304921120791147,0.0014127619496114904,0.0001177301624676242,0.9230769230769231,1.0,0.07692307692307693,1.0909090909090908,1.1818181818181819,13.0,11.0,12.0
13,13,3115.0,8533.0,5.478651685393259,0.001759361491776897,0.0019576960817611227,0.9271362539603947,-0.1351023183361273,0.0,3.0,-0.1351023183361273,10.206322991560475,9.119266019483115,0.0008783677591728523,293.0,274.0,5.071672354948806,0.1386861313868613,0.309255079006772,3230.0,8533.0,16.0,14.0,13.0,14.0,1.0,2.0,0.0,14.0,0.0016406890894175555,0.0015234970116020157,0.00011719207781553967,0.9285714285714286,1.0,0.07142857142857142,1.0833333333333333,1.1666666666666667,14.0,12.0,13.0
14,14,3129.0,8572.0,5.479066794503036,0.001751619819214526,0.0019864983741943367,0.9314310141526969,-0.13629661395705306,0.0,3.0,-0.13629661395705306,10.214519588621862,9.15080515122,0.0008745086251247492,293.0,274.0,5.109215017064846,0.1386861313868613,0.309255079006772,3261.0,8572.0,17.0,15.0,14.0,15.0,1.0,2.0,0.0,15.0,0.0017498833411105927,0.0016332244517032197,0.00011665888940737284,0.9333333333333333,1.0,0.06666666666666667,1.0769230769230769,1.1538461538461537,15.0,13.0,14.0
15,15,3143.0,8611.0,5.479478205536112,0.0017439459597505128,0.0020173979874492888,0.9357163268258395,-0.13756205659693402,0.0,3.0,-0.13756205659693402,10.22246312042696,9.182435877043831,0.0008706832418732941,293.0,274.0,5.146757679180888,0.1386861313868613,0.309255079006772,3292.0,8611.0,18.0,16.0,15.0,16.0,1.0,2.0,0.0,16.0,0.001858088491464406,0.0017419579607478807,0.00011613053071652537,0.9375,1.0,0.0625,1.0714285714285714,1.1428571428571428,16.0,14.0,15.0
16,16,3155.0,8647.0,5.481458003169572,0.0017379384918102638,0.002061477709406087,0.9407464254238257,-0.13890347649286375,0.0,3.0,-0.13890347649286375,10.228912281181863,9.215884836588588,0.0008676892011020668,293.0,274.0,5.177474402730375,0.1386861313868613,0.309255079006772,3321.0,8647.0,18.0,17.0,16.0,17.0,1.0,2.0,0.0,17.0,0.0019659997687059096,0.001850352723487915,0.00011564704521799469,0.9411764705882353,1.0,0.058823529411764705,1.0666666666666667,1.1333333333333333,17.0,15.0,16.0
17,17,3165.0,8680.0,5.484992101105846,0.0017335626109689778,0.0020897932399148856,0.9443216984756315,-0.1404350836303489,0.0,3.0,-0.1404350836303489,10.234554371943512,9.23846182989761,0.0008655091604710885,293.0,274.0,5.201365187713311,0.1386861313868613,0.309255079006772,3347.0,8680.0,18.0,17.0,17.0,18.0,1.0,2.0,0.0,18.0,0.00195852534562212,0.00195852534562212,0.0001152073732718894,1.0,1.0588235294117647,0.058823529411764705,1.1333333333333333,1.2,18.0,15.0,17.0
18,18,3180.0,8722.0,5.485534591194969,0.001725553504622513,0.0021377615107013373,0.9497910410422791,-0.14073463501931516,0.0,3.0,-0.14073463501931516,10.243215890155511,9.273359465311806,0.0008615165539337843,293.0,274.0,5.238907849829351,0.1386861313868613,0.309255079006772,3376.0,8722.0,19.0,18.0,18.0,19.0,1.0,2.0,0.0,19.0,0.0020637468470534283,0.0020637468470534283,0.00011465260261407934,1.0,1.0555555555555556,0.05555555555555555,1.125,1.1875,19.0,16.0,18.0
19,19,3187.0,8748.0,5.489802321932852,0.0017231017959613473,0.0021582749554612092,0.9536032455728716,-0.14197643399835652,0.0,3.0,-0.14197643399835652,10.24704496937788,9.287090131193729,0.000860296019412878,293.0,274.0,5.2593856655290105,0.1386861313868613,0.309255079006772,3397.0,8748.0,19.0,18.0,18.0,20.0,1.0,2.0,0.0,20.0,0.00205761316872428,0.00205761316872428,0.00011431184270690443,1.0,1.1111111111111112,0.05555555555555555,1.125,1.25,20.0,16.0,18.0
